title,artist,spotify_id
Rollercoaster,DOK2,137hF3xAZrB27rBUo5Qx5B
"Ambition and Vision (feat. Beenzino, Changmo, Kim Hyo-Eun, Hash Swan & The Quiett)",DOK2,3m91ROhFr6Pzfzwoa4NAMM
1LL Recognize 1LL - Bonus Track,DOK2,7vBMlFHfDoZqHCf7sWLWu5
Miss You,DOK2,64hSJs405N9lgv0RNJRnlE
Two Pills,Coogie,6ACWgt6Jab2Pl6KK2Go4o9
Alone (Feat. LeeHi),Coogie,2SSbQoEqPHu6qAgi3pFobY
saimsaim,Coogie,34W9D0vTrfUWatfvCyrrkp
Good Night (Feat. BE'O),Coogie,7uzmxEjFEAiadiCCXa0bhi
Right Now (Feat. Crush),Coogie,4IiSP6seUj7QwhgDgXdS11
muah,Coogie,0AHhkuNuqjFPzMfi72JIxr
SUZURAN,Coogie,7HvK2FmTNzmABacnideADP
Justin Bieber (Feat. Jay Park),Coogie,7lKq1zBuch1xYlwQxs9RdD
"1,2,3,4,5",Coogie,0b2uMH3ziqvmdPyyv02FA7
"Good Night (Remix) (Feat. Paul Blanco, CAMO)",Coogie,7oJOO76O5QH4SjFUMrvbon
아무 말,"죠지, 쿠기 (Coogie)",7qDnloxTILmCI4Lmvg6uRE
Right Away (Feat. pH-1),Coogie,1t73E6zaEr2H8pqwFn2cF6
Watch Me Ballin',Coogie,0jMWVoq4ydhCEtc57fGhrS
What (Feat. Wonstein),Coogie,7J0FXQA7ZQiGVD3fKqXTdE
Right away (Feat. pH-1),Coogie,4ZLbxNHTlHeRNQOt6KOfSx
Life Goes On (Feat. pH-1),Coogie,7DNT98RushlHadPmT3qaiX
Wifey (Feat. CHANGMO),Coogie,4WySvS12puJNmkjvJsQKpA
POW (Feat. GRAY),Coogie,3QpwHZCLi4vPrt2TJ1kurE
"Shut Up Remix (Feat. Woo, Roh Yun Ha, Kid Milli, Loco)",Coogie,48bqmn7O20Id7P1CvBax13
Buck,Coogie,1BCONvj86ada7Wbr7v0irk
Sober (Feat. Jvcki Wai),Coogie,4I5g757QtPIpo6TBCJLoLb
Shut Up (Feat. ZICO),Coogie,3hOXFLGpLZpWrI8kJdcwmb
Spaceship,Coogie,46sIBHNOtizWM7g6YQ9xXQ
coogieandme (Feat. lobonabeat!),Coogie,4DxngXufW4umnIl2GY3PNK
!!!!Lips!!!! (Feat. Woo Won Jae),Coogie,4XbJxXJci17yWm8WBVj1aS
"Set Go! (Feat. Giriboy, Simon Dominic)",Coogie,6HXigoM9rxAM6WYupzBUQy
GPS,Coogie,7KIsKkHiPhJvFkKmXM8z0c
"D.O.D (Feat. Fleeky Bang, Blase)",Coogie,3aMtwIENzRfad7rQIkWXTh
I Made It,Coogie,7flu7AobqtxS77Jatwldhg
ariggari (Feat. oygli),Coogie,1ZhFi82HgR7ZbrNqL3Vrw5
MELODY,ASH ISLAND,6JeleVHUHrdvgiFESE33ZU
Nightmare,ASH ISLAND,3uKoBRThCMtgKss90CiXQc
Beautiful (Feat. Skinny Brown),ASH ISLAND,3J6NzKxov6PDE1LC99gXV8
One More Night (Feat. lIlBOI),ASH ISLAND,1kZwWtijucTV6LRUrGn51f
Lonely,ASH ISLAND,5QcIKO1FjIQOWHlDATLV4g
The Answer That Never Came,ASH ISLAND,5WGAbjplHbzxG1kfhX0eXB
"WATER (Feat. Car, the garden)",ASH ISLAND,4JgId66CQQw0YnoeMEVvd8
Error (Feat. Loopy),ASH ISLAND,7IRknQOMvsycACYS1fVGex
Goodbye (Feat. Paul Blanco),ASH ISLAND,7qlA2Y1zPNnQxUd1BWx19x
Butterfly (Feat. Loopy),ASH ISLAND,1pRSaQf9bPUDRWXOxWc3Vu
Nah Nah (Feat. KATIE),ASH ISLAND,4JyH9jtBT5wG0aNBcKeHLU
OST (Feat. CHANMINA),ASH ISLAND,0KXdlcZHmCqIfIfRVGRGP2
Because,ASH ISLAND,08xMOoUaMWWlNStVUdBTBC
OST ( Feat.CHANMINA ),ASH ISLAND,5i2qsnB4cF2j7KdxjhTbzV
Paranoid,ASH ISLAND,2HkLBmbvSYIa9wt51jtGwe
